generation,num_individuals_total,loss_min,loss_avg,loss_max,fundamental_loss_min,fundamental_loss_avg,fundamental_loss_max,toots_loss_min,toots_loss_avg,toots_loss_max,brightness_loss_min,brightness_loss_avg,brightness_loss_max
86,1000,6.872653339649931,6.922619030811342,6.937441892372276,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.008338558183447198,0.18033102333845363,0.21615009065436563,6.692208062807877,6.732741340408651,6.905234587735461
87,1000,6.872653339649931,6.915574734405571,6.929090308412155,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.008338558183447198,0.16850041882020328,0.21615009065436563,6.6857077346460905,6.737527648521132,6.905234587735461
88,1000,6.872653339649931,6.912329883168485,6.928069784563249,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.008338558183447198,0.15851573247766737,0.21615009065436563,6.6857077346460905,6.744267483626581,6.905234587735461
89,1000,6.872653339649931,6.906191864187773,6.922989131818232,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.008338558183447198,0.14961763210356915,0.21615009065436563,6.6857077346460905,6.747027565019967,6.90510390657055
90,1000,6.872653339649931,6.902513669895224,6.917904820526478,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.016456363803647456,0.14623360158986598,0.21615009065436563,6.6857077346460905,6.746733401241123,6.8726658757892665
91,1000,6.8724988305231625,6.894268512283124,6.909002622350068,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.016456363803647456,0.10395786286388375,0.1908839520229444,6.698968053313842,6.780763982355005,6.8726658757892665
92,1000,6.870806062574188,6.889736069543831,6.90693185701105,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.016456363803647456,0.07902679851654693,0.1908839520229444,6.698968053313842,6.80116260396305,6.8726658757892665
93,1000,6.861547650996643,6.884436531536662,6.902046525409239,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.016456363803647456,0.04784050252936067,0.1908839520229444,6.698968053313842,6.827049361943065,6.8726658757892665
94,1000,6.861547650996643,6.878791438881104,6.895062481092938,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.016456363803647456,0.02845374108843224,0.05533641618362228,6.810883142417606,6.840791030728437,6.849341424906282
95,1000,6.861547650996643,6.874620647263524,6.892775160093165,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.016456363803647456,0.022810516812760362,0.05533641618362228,6.810883142417606,6.842263463386528,6.8545064245822935
96,1000,6.861547650996643,6.871923255367466,6.875304814256535,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.016456363803647456,0.017689437689205167,0.04111784151480169,6.810883142417606,6.844687150614026,6.849301783388652
97,1000,6.8603317870659835,6.869381942350158,6.8733902274907885,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.016456363803647456,0.01892251157476288,0.04111784151480169,6.8099051215165485,6.8409127637111595,6.847387196622906
98,1000,6.8603317870659835,6.867246607150465,6.872185455670917,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.016456363803647456,0.02015558546032059,0.04111784151480169,6.8099051215165485,6.837544354625908,6.846182424803034
99,1000,6.8603317870659835,6.86417321645381,6.870845849970812,0.009546667064235237,0.009546667064235237,0.009546667064235237,0.016456363803647456,0.023854807116993726,0.04111784151480169,6.8099051215165485,6.8307717422725815,6.844842819102929
